O que é malária?, Doença infecciosa causada por parasitas do gênero Plasmodium transmitidos por mosquitos Anopheles. Sintomas incluem febre alta e calafrios., Parasitologia
O que é dengue?, Doença viral aguda transmitida pelo mosquito Aedes aegypti. Causa febre alta e dores no corpo e articulações., Infectologia
O que é hipertensão arterial?, Condição crônica onde a pressão do sangue nas artérias está persistentemente elevada (acima de 140/90 mmHg)., Cardiologia
O que é diabetes mellitus?, Doença metabólica caracterizada por níveis elevados de glicose no sangue devido a problemas na produção ou ação da insulina., Endocrinologia
O que é anemia?, Condição em que o sangue não tem glóbulos vermelhos saudáveis suficientes para transportar oxigênio adequadamente aos tecidos., Hematologia
O que são antibióticos?, Medicamentos usados para tratar infecções bacterianas. Não funcionam contra vírus., Farmacologia
O que é o sistema imunológico?, Sistema de defesa do corpo formado por células e órgãos que protegem contra infecções e doenças., Imunologia
O que é a pressão sistólica?, Pressão nas artérias quando o coração contrai e bombeia sangue. É o número maior na medição de pressão arterial., Cardiologia
O que é a pressão diastólica?, Pressão nas artérias quando o coração relaxa entre as batidas. É o número menor na medição de pressão arterial., Cardiologia
O que é febre?, Elevação da temperatura corporal acima de 37.5°C como resposta do sistema imunológico a infecções ou inflamações., Clínica Geral
O que é tuberculose?, Doença infecciosa causada pela bactéria Mycobacterium tuberculosis que afeta principalmente os pulmões., Pneumologia
O que é HIV/AIDS?, HIV é o vírus da imunodeficiência humana. AIDS é a síndrome causada quando o HIV destrói o sistema imunológico., Infectologia
O que são vacinas?, Preparações biológicas que estimulam o sistema imunológico a produzir proteção contra doenças específicas., Imunologia
O que é colesterol?, Substância gordurosa presente no sangue. Em excesso pode causar doenças cardiovasculares., Cardiologia
O que é a insulina?, Hormônio produzido pelo pâncreas que permite às células absorver glicose do sangue para produzir energia., Endocrinologia
