O que é malária?, Doença viral, Doença bacteriana, Doença parasitária, Doença fúngica, 2, Malária é causada pelo parasita Plasmodium transmitido por mosquitos Anopheles, Infectologia
Qual vitamina previne o escorbuto?, Vitamina A, Vitamina B12, Vitamina C, Vitamina D, 2, A vitamina C (ácido ascórbico) é essencial para prevenir o escorbuto, Nutrição
Qual órgão produz insulina?, Fígado, Pâncreas, Rim, Baço, 1, O pâncreas produz insulina nas células beta das ilhotas de Langerhans, Endocrinologia
Qual é o principal vetor da dengue?, Aedes aegypti, Anopheles, Culex, Phlebotomus, 0, O Aedes aegypti é o principal mosquito transmissor da dengue, Infectologia
O que significa HIV?, Vírus da Imunodeficiência Humana, Vírus da Hepatite Infecciosa, Vírus Hepático Intenso, Vírus Hemorrágico Intenso, 0, HIV significa Human Immunodeficiency Virus (Vírus da Imunodeficiência Humana), Infectologia
Qual é a pressão arterial normal em adultos?, 180/120 mmHg, 120/80 mmHg, 90/60 mmHg, 140/90 mmHg, 1, A pressão arterial normal em adultos é aproximadamente 120/80 mmHg, Cardiologia
Qual hormônio regula o metabolismo?, Adrenalina, Insulina, Tiroxina, Cortisol, 2, A tiroxina (T4) produzida pela tireoide é o principal hormônio regulador do metabolismo, Endocrinologia
Quantos litros de sangue tem o corpo humano adulto?, 2-3 litros, 4-5 litros, 8-10 litros, 1-2 litros, 1, Um adulto tem em média 4 a 5 litros de sangue circulando no corpo, Hematologia
O que é a hemoglobina?, Proteína do plasma, Proteína dos glóbulos vermelhos, Hormônio do sangue, Enzima digestiva, 1, A hemoglobina é a proteína presente nos glóbulos vermelhos responsável pelo transporte de oxigênio, Hematologia
Qual é a função principal dos rins?, Digestão, Respiração, Filtração do sangue, Produção de hormônios, 2, Os rins filtram o sangue removendo resíduos e excesso de água formando a urina, Nefrologia
